TestCase ID,Test Cases Title / Objective,Environment,Pre-condition,Test Data,Steps,Expected Results,Requirement ID,,,,,,,,,,,,,
1-New Customer,,,,,,,,,,,,,,,,,,,,
TC_NEWCUST_01,"Verify that New Customer form shows error for blank Customer
 Name when moving to next field.", Chrome version 27 and above,"The Manager navigates to the login page URL, URL:("""")
 logs in with valid credentials, is redirected to the
 Manager page, selects the ""New Customer"" option, 
and lands on the New Customer form with all fields empty.",-,"1-Leave the Customer Name field blank.  
2-Click into the next field.","Error message: ""This field must not be blank."" appears immediately.",,,,,,,,,,,,,,
TC_NEWCUST_02,"Verify that New Customer form rejects Customer Name with fewer than 7 characters on form submission
",,,"Customer Name: ""Ahmed"" (5 characters)  
Gender: ""Male"" (default)  
DOB: ""01/01/2000""  
Address: ""123 Main Street, Building 12, Apartment 5, Cairo, Egypt 12345"" (53 characters)  
City: ""Cairo""  
State: ""Giza""  
Pin: ""123456""  
Mobile Number: ""+201234567890""  
Email: ""test1@example.com""
Temp Password: ""Passw0rd#12""","1-Enter Customer Name. 
2-Choose Gender .  
3-Select Date of birth.  
4-Enter Address.  
5-Enter City.  
6-Enter State.  
7-Enter Pin .  
8-Enter Mobile Number.  
9-Enter Email. 
10- Enter Temp Password.
11-Click Submit.","Error message: ""Please enter valid data."" appears immediately under the submit button.",,,,,,,,,,,,,,
TC_NEWCUST_03,"Verify that New Customer form accepts Customer Name with
 exactly 7 characters on form submission",,,"Customer Name: ""Mohamed"" (7 characters)  
Gender: ""Male"" (default)  
DOB: ""01/01/2000""  
Address: ""123 Main Street, Building 12, Apartment 5, Cairo, Egypt 12345"" (53 characters)  
City: ""Cairo""  
State: ""Giza""  
Pin: ""123456""  
Mobile Number: ""+201234567890""  
Email: ""test1@example.com""
Temp Password: ""Passw0rd#12""","1-Enter Customer Name. 
2-Choose Gender .  
3-Select Date of birth.  
4-Enter Address.  
5-Enter City.  
6-Enter State.  
7-Enter Pin .  
8-Enter Mobile Number.  
9-Enter Email. 
10- Enter Temp Password.
11-Click Submit.","Form submission is successful. Customer is registered, and is navigated to a confirmation page with customer data submitted.
",,,,,,,,,,,,,,
TC_NEWCUST_04,"Verify that New Customer form accepts Customer Name with 50
 characters on form submission",,,"Customer Name: ""Ahmed Mohammed Ibrahim Abdelrahman Khaled Mostafa Alii"" (50 characters)  
Gender: ""Male"" (default)  
DOB: ""01/01/2000""  
Address: ""123 Main Street, Building 12, Apartment 5, Cairo, Egypt 12345"" (53 characters)  
City: ""Cairo""  
State: ""Giza""  
Pin: ""123456""  
Mobile Number: ""+201234567890""  
Email: ""test1@example.com""
Temp Password: ""Passw0rd#12""","1-Enter Customer Name. 
2-Choose Gender .  
3-Select Date of birth.  
4-Enter Address.  
5-Enter City.  
6-Enter State.  
7-Enter Pin .  
8-Enter Mobile Number.  
9-Enter Email. 
10- Enter Temp Password.
11-Click Submit.","Form submission is successful. Customer is registered, and is navigated to a confirmation page with customer data submitted.
",,,,,,,,,,,,,,
TC_NEWCUST_05,"Verify that New Customer form rejects Customer Name exceeding 
50 characters on form submission",,,"Customer Name: ""Ahmed Mohammed Ibrahim Abdelrahman Khaled Mostafa Alii z"" (52 characters)  
Gender: ""Male"" (default)  
DOB: ""01/01/2000""  
Address: ""123 Main Street, Building 12, Apartment 5, Cairo, Egypt 12345"" (53 characters)  
City: ""Cairo""  
State: ""Giza""  
Pin: ""123456""  
Mobile Number: ""+201234567890""  
Email: ""test1@example.com""
Temp Password: ""Passw0rd#12""","1-Enter Customer Name. 
2-Choose Gender .  
3-Select Date of birth.  
4-Enter Address.  
5-Enter City.  
6-Enter State.  
7-Enter Pin .  
8-Enter Mobile Number.  
9-Enter Email. 
10- Enter Temp Password.
11-Click Submit.","Error message: ""Please enter valid data."" appears immediately under the submit button.",,,,,,,,,,,,,,
TC_NEWCUST_06,"Verify that New Customer form rejects Customer Name with
 numbers on form submission",,,"Customer Name: ""Ahmed123 Mohamed""
Gender: ""Male"" (default)  
DOB: ""01/01/2000""  
Address: ""123 Main Street, Building 12, Apartment 5, Cairo, Egypt 12345"" (53 characters)  
City: ""Cairo""  
State: ""Giza""  
Pin: ""123456""  
Mobile Number: ""+201234567890""  
Email: ""test1@example.com""
Temp Password: ""Passw0rd#12""","1-Enter Customer Name. 
2-Choose Gender .  
3-Select Date of birth.  
4-Enter Address.  
5-Enter City.  
6-Enter State.  
7-Enter Pin .  
8-Enter Mobile Number.  
9-Enter Email. 
10- Enter Temp Password.
11-Click Submit.","Error message: ""Please enter valid data."" appears immediately under the submit button.",,,,,,,,,,,,,,
TC_NEWCUST_07,"Verify that New Customer form rejects Customer Name with 
special characters on form submission",,,"Customer Name: ""Ahmed@Mohamed""
Gender: ""Male"" (default)  
DOB: ""01/01/2000""  
Address: ""123 Main Street, Building 12, Apartment 5, Cairo, Egypt 12345"" (53 characters)  
City: ""Cairo""  
State: ""Giza""  
Pin: ""123456""  
Mobile Number: ""+201234567890""  
Email: ""test1@example.com""
Temp Password: ""Passw0rd#12""","1-Enter Customer Name. 
2-Choose Gender .  
3-Select Date of birth.  
4-Enter Address.  
5-Enter City.  
6-Enter State.  
7-Enter Pin .  
8-Enter Mobile Number.  
9-Enter Email. 
10- Enter Temp Password.
11-Click Submit.","Error message: ""Please enter valid data."" appears immediately under the submit button.",,,,,,,,,,,,,,
TC_NEWCUST_08,"Verify that New Customer form rejects Customer Name with 
punctuation (hyphen or apostrophe) on form submission",,,"Customer Name: ""Anne-Marie""
Gender: ""Male"" (default)  
DOB: ""01/01/2000""  
Address: ""123 Main Street, Building 12, Apartment 5, Cairo, Egypt 12345"" (53 characters)  
City: ""Cairo""  
State: ""Giza""  
Pin: ""123456""  
Mobile Number: ""+201234567890""  
Email: ""test1@example.com""
Temp Password: ""Passw0rd#12""","1-Enter Customer Name. 
2-Choose Gender .  
3-Select Date of birth.  
4-Enter Address.  
5-Enter City.  
6-Enter State.  
7-Enter Pin .  
8-Enter Mobile Number.  
9-Enter Email. 
10- Enter Temp Password.
11-Click Submit.","Error message: ""Please enter valid data."" appears immediately under the submit button.",,,,,,,,,,,,,,
TC_NEWCUST_09,"Verify that New Customer form rejects Customer Name with 
non-english letters on form submission",,,"Customer Name: ""José Alfred""
Gender: ""Male"" (default)  
DOB: ""01/01/2000""  
Address: ""123 Main Street, Building 12, Apartment 5, Cairo, Egypt 12345"" (53 characters)  
City: ""Cairo""  
State: ""Giza""  
Pin: ""123456""  
Mobile Number: ""+201234567890""  
Email: ""test1@example.com""
Temp Password: ""Passw0rd#12""","1-Enter Customer Name. 
2-Choose Gender .  
3-Select Date of birth.  
4-Enter Address.  
5-Enter City.  
6-Enter State.  
7-Enter Pin .  
8-Enter Mobile Number.  
9-Enter Email. 
10- Enter Temp Password.
11-Click Submit.","Error message: ""Please enter valid data."" appears immediately under the submit button.",,,,,,,,,,,,,,
TC_NEWCUST_10,"Verify that New Customer form rejects Customer Name with 
leading space on form submission",,,"Customer Name: "" Ahmed Mohamed""
Gender: ""Male"" (default)  
DOB: ""01/01/2000""  
Address: ""123 Main Street, Building 12, Apartment 5, Cairo, Egypt 12345"" (53 characters)  
City: ""Cairo""  
State: ""Giza""  
Pin: ""123456""  
Mobile Number: ""+201234567890""  
Email: ""test1@example.com""
Temp Password: ""Passw0rd#12""","1-Enter Customer Name. 
2-Choose Gender .  
3-Select Date of birth.  
4-Enter Address.  
5-Enter City.  
6-Enter State.  
7-Enter Pin .  
8-Enter Mobile Number.  
9-Enter Email. 
10- Enter Temp Password.
11-Click Submit.","Error message: ""Please enter valid data."" appears immediately under the submit button.",,,,,,,,,,,,,,
